Lat,Lon,Base_PM25,Traffic_avg,Traffic_norm,Traffic_rush,Lc1,Lc2,Lc3,Lc4,Lc5,Lc6,Lc7,Road_dense,Pop_dense,altm,temp,hud,wdir,wspd,vis,Expected_PM25
21.002399999999778,105.71809999999863,23.516006469726562,0.9480990171432495,0.832279622554779,1.1052825450897217,108.0,71.0,0.0,46.0,2.0,398.0,23.0,0.013150734826922417,4440.755859375,1013.0535179231708,24.386054367558586,68.99323972544518,173.44276895381378,3.360929976988884,9.147730839753985,8.356182795698924
21.002399999999792,105.71809999999863,35.02699279785156,0.9480990171432495,0.832279622554779,1.1052825450897217,108.0,71.0,0.0,46.0,2.0,398.0,23.0,0.013150734826922417,4440.755859375,1017.3650369954863,23.296356029236463,67.7714447308984,150.58969929765126,2.8310608537153166,7.949927757057334,12.632777777777791
21.002399999999778,105.71809999999863,45.05133819580078,0.9480990171432495,0.832279622554779,1.1052825450897217,108.0,71.0,0.0,46.0,2.0,398.0,23.0,0.013150734826922417,4440.755859375,1019.6435759007362,17.9669367980387,62.573738091403435,115.74442848802485,3.2455634256494226,7.690919827939094,26.12768817204304
21.00240000000007,105.7180999999989,26.52901840209961,0.9480990171432495,0.832279622554779,1.1052825450897217,108.0,71.0,0.0,46.0,2.0,398.0,23.0,0.013150734826922417,4440.755859375,1006.094843597263,28.85658655276468,76.30820476858347,122.58261613328231,3.407744698032216,8.774469696969698,21.98400954653938
21.002399999999792,105.71809999999863,22.400165557861328,0.9480990171432495,0.832279622554779,1.1052825450897217,108.0,71.0,0.0,46.0,2.0,398.0,23.0,0.013150734826922417,4440.755859375,1002.9091160047681,31.07453455361064,68.57165796160362,122.17604617604616,3.6560962889767237,9.449246619925967,12.41376912378304
21.002399999999778,105.71809999999863,19.99591636657715,0.9480990171432495,0.832279622554779,1.1052825450897217,108.0,71.0,0.0,46.0,2.0,398.0,23.0,0.013150734826922417,4440.755859375,1004.148904695118,30.875177820076136,69.13831229546517,133.03984672410334,3.495285680892272,9.355108779135776,11.284005376344092
21.002399999999778,105.71809999999863,17.396697998046875,0.9480990171432495,0.832279622554779,1.1052825450897217,108.0,71.0,0.0,46.0,2.0,398.0,23.0,0.013150734826922417,4440.755859375,1003.6680338005541,28.73490983930564,78.60814559907993,124.23427999745633,3.1137751900789845,8.958926712021034,12.711051212938006
21.002399999999792,105.71809999999863,20.552173614501953,0.9480990171432495,0.832279622554779,1.1052825450897217,108.0,71.0,0.0,46.0,2.0,398.0,23.0,0.013150734826922417,4440.755859375,1007.1734815546773,28.547154699165567,76.73801799046366,126.92661788694393,2.967396245059289,8.647709195997239,11.086331938633192
21.039800000000113,105.76520000000006,24.57677459716797,3.588801622390747,3.3099467754364014,3.967247486114502,23.0,23.0,0.0,22.0,0.0,580.0,0.0,0.006726105697453022,11379.9228515625,1013.0535179231708,24.386054367558586,68.99323972544518,173.44276895381378,3.360929976988884,9.147730839753985,7.740188172043008
21.0398000000001,105.76520000000025,36.336666107177734,3.588801622390747,3.3099467754364014,3.967247486114502,23.0,23.0,0.0,22.0,0.0,580.0,0.0,0.006726105697453022,11379.9228515625,1017.3650369954863,23.296356029236463,67.7714447308984,150.58969929765126,2.8310608537153166,7.949927757057334,17.355555555555554
21.039800000000113,105.76520000000006,45.788387298583984,3.588801622390747,3.3099467754364014,3.967247486114502,23.0,23.0,0.0,22.0,0.0,580.0,0.0,0.006726105697453022,11379.9228515625,1019.6435759007362,17.9669367980387,62.573738091403435,115.74442848802485,3.2455634256494226,7.690919827939094,39.540188172043024
21.039799999999868,105.76520000000066,26.847856521606445,3.588801622390747,3.3099467754364014,3.967247486114502,23.0,23.0,0.0,22.0,0.0,580.0,0.0,0.006726105697453022,11379.9228515625,1006.094843597263,28.85658655276468,76.30820476858347,122.58261613328231,3.407744698032216,8.774469696969698,21.817437722419935
21.0398000000001,105.76520000000025,22.638668060302734,3.588801622390747,3.3099467754364014,3.967247486114502,23.0,23.0,0.0,22.0,0.0,580.0,0.0,0.006726105697453022,11379.9228515625,1002.9091160047681,31.07453455361064,68.57165796160362,122.17604617604616,3.6560962889767237,9.449246619925967,15.882361111111107
21.039800000000113,105.76520000000006,20.34967803955078,3.588801622390747,3.3099467754364014,3.967247486114502,23.0,23.0,0.0,22.0,0.0,580.0,0.0,0.006726105697453022,11379.9228515625,1004.148904695118,30.875177820076136,69.13831229546517,133.03984672410334,3.495285680892272,9.355108779135776,13.006317204301082
21.039800000000113,105.76520000000006,18.09290313720703,3.588801622390747,3.3099467754364014,3.967247486114502,23.0,23.0,0.0,22.0,0.0,580.0,0.0,0.006726105697453022,11379.9228515625,1003.6680338005541,28.73490983930564,78.60814559907993,124.23427999745633,3.1137751900789845,8.958926712021034,12.911155913978488
21.0398000000001,105.76520000000025,21.42066764831543,3.588801622390747,3.3099467754364014,3.967247486114502,23.0,23.0,0.0,22.0,0.0,580.0,0.0,0.006726105697453022,11379.9228515625,1007.1734815546773,28.547154699165567,76.73801799046366,126.92661788694393,2.967396245059289,8.647709195997239,11.075972222222225
21.01519999999985,105.7998999999993,46.75624084472656,3.6705589294433594,3.2728936672210693,4.21024751663208,14.0,3.0,0.0,12.0,8.0,610.0,1.0,0.009411904029548168,35946.3046875,1020.254382616248,17.431467591957922,82.93389974628441,98.9742860114714,2.8013895266663407,6.176631922175495,58.43760752688171
